"Id";"Type";"Nature";"Caracteristique"
642;"extérieur";"houpelande";"double"
643;"tête";"chaperon";"double"
644;"sous vêtement";"chausses";
645;"extérieur";"houpelande";
646;"sous vêtement";"chausses";
647;"tête";"chaperon";
648;"extérieur";"mantel";
649;"autre";"cordon à sceller";
650;"autre";"emballage";
651;"autre";"cordon à sceller";
652;"intérieur";"houpelande";"à lever de nuit"
653;"ajusté";"gipe";
654;"intérieur";"robe";
655;"autre";"emballage";
656;"religieux";"aube";
657;"religieux";"amict";
658;"religieux";"corporal";
659;"religieux";"inconnue";
660;"mobilier";"couverture d'autel";
661;"sous vêtement";"chausses";
662;"intérieur";"veste";
663;"intérieur";"robe";
664;"intérieur";"robe";
665;"extérieur";"mantel";
666;"militaire";"pavillon";
667;"parure";"aiguillette";"de jacque"
668;"militaire";"pavillon";
669;"militaire";"tente";
670;"autre";"emballage";
671;"militaire";"pavillon";
672;"cheval";"mangeoir";
673;"autre";"sac d'emballage";
674;"intérieur";"robe";
675;"parure";"tresse";"à jacque"
676;"parure";"tissu";"à aubergeon"
677;"militaire";"étoffe de bacinet";
678;"militaire";"pavillon";
679;"parure";"tissu";"à aubergeon"
680;"ajusté";"étoffe de jacque";
681;"tête";"chaperon";"double à bacinet"
682;"militaire";"étoffe de bacinet";
683;"militaire";"étandard";
684;"extérieur";"sac";
685;"extérieur";"mantel";
686;"sous vêtement";"chausses";
687;"ajusté";"jaque";
688;"intérieur";"cotte ardie";
689;"mobilier";"chambre";"moutons et bergers"
690;"militaire";"pavillon";
691;"militaire";"pavillon";
692;"intérieur";"robe";
693;"extérieur";"houpelande";
694;"mobilier";"linteamenta";
695;"extérieur";"houpelande";"brodée"
696;"extérieur";"houpelande";
697;"extérieur";"houpelande";
698;"parure";"manche";
699;"tête";"chaperon";
700;"parure";"tissu";
701;"doublure";"chausses";
702;"autre";"emballage";
703;"sous vêtement";"chausses";
704;"parure";"rivet";
705;"parure";"bouton";
706;"extérieur";"sac";"grand"
707;"doublure";"cornemuse";
708;"intérieur";"robe";
709;"intérieur";"robe";
710;"intérieur";"robe";
711;"intérieur";"robe";
712;"ajusté";"gipon";
713;"ajusté";"gipon";"petit"
714;"ajusté";"gipon";
715;"ajusté";"gipon";
716;"extérieur";"houpelande";
717;"ajusté";"gipon";
718;"extérieur";"houpelande";
719;"extérieur";"houpelande";
720;"extérieur";"houpelande";
721;"extérieur";"houpelande";
722;"sous vêtement";"chausses";
723;"tête";"chaperon";
724;"intérieur";"robe";
725;"extérieur";"houpelande";
726;"doublure";"gipon";
727;"sous vêtement";"chausses";
728;"intérieur";"robe";
729;"extérieur";"mantel";"double à chevaucher"
730;"extérieur";"sac";
731;"extérieur";"sac";
732;"sous vêtement";"chausses";
733;"militaire";"gipon";"à armer"
734;"vêtement";"veste";
735;"militaire";"cotte";"à armer"
736;"cheval";"chabraque";
737;"extérieur";"capeline";
738;"militaire";"manche";"à jouter"
740;"ajusté";"gipon";
741;"intérieur";"robe";
742;"cheval";"housse de selle";
743;"sous vêtement";"chausses";
744;"autre";"emballage";
745;"autre";"emballage";
746;"intérieur";"robe";
747;"extérieur";"mantel";"grand et double"
748;"sous vêtement";"gonelle";
749;"tête";"chaperon";"double"
750;"sous vêtement";"chausses";
751;"extérieur";"houpelande";"grand"
752;"religieux";"froc";
753;"tête";"chaperon";
754;"sous vêtement";"chausses";
755;"intérieur";"robe";
756;"tête";"chaperon";
757;"intérieur";"robe";
758;"tête";"chaperon";
759;"intérieur";"robe";
760;"tête";"chaperon";
761;"extérieur";"sac";
762;"tête";"chaperon";
763;"sous vêtement";"chausses";
764;"extérieur";"houpelande";"grand"
765;"extérieur";"mantel";
766;"extérieur";"veste";"grand jusqu'au pieds"
767;"sous vêtement";"chausses";
768;"sous vêtement";"chausses";
769;"extérieur";"mantel";"grand"
770;"ajusté";"gipon";
771;"sous vêtement";"chausses";
772;"tête";"chaperon";
773;"extérieur";"houpelande";
774;"tête";"chaperon";
775;"intérieur";"robe";
776;"intérieur";"robe";
777;"intérieur";"cotte";
778;"intérieur";"cotte";
779;"tête";"chaperon";
780;"intérieur";"cotte";
781;"ajusté";"gipon";
782;"doublure";"sac";
783;"doublure";"sac";
784;"sous vêtement";"chausses";
785;"intérieur";"robe";
786;"sous vêtement";"chausses";
787;"intérieur";"cotte";
788;"intérieur";"cotte";
789;"parure";"tissu";
790;"parure";"tissu";
791;"doublure";"couverture";
792;"intérieur";"cotte";
793;"sous vêtement";"semelle de chausses";
794;"sous vêtement";"semelle de chausses";
795;"sous vêtement";"semelle de chausses";
796;"intérieur";"robe";
797;"sous vêtement";"chausses";
798;"ajusté";"gipon";
799;"extérieur";"mantel";
800;"doublure";"robe";
801;"doublure";"houpelande";
802;"ajusté";"gipon";
803;"sous vêtement";"chausses";
804;"intérieur";"cotte";
805;"intérieur";"robe";
806;"extérieur";"veste";
807;"intérieur";"cotte";
808;"autre";"emballage";
809;"intérieur";"cotte";
810;"intérieur";"cotte";
811;"intérieur";"cotte";
812;"intérieur";"cotte";
813;"intérieur";"cotte";
814;"intérieur";"cotte";
815;"mobilier";"linteamenta";
816;"intérieur";"cotte";
817;"sous vêtement";"chausses";
818;"intérieur";"robe";
819;"sous vêtement";"chausses";
820;"extérieur";"sac";
821;"tête";"chaperon";
822;"intérieur";"cotte";
823;"intérieur";"cotte";
824;"intérieur";"cotte";
825;"religieux";"eschapolleyros";
826;"sous vêtement";"gonelle";
827;"intérieur";"cotte";
828;"intérieur";"cotte";
829;"tête";"chaperon";
830;"doublure";"chaperon";
831;"sous vêtement";"gonelle";
832;"sous vêtement";"gonelle";
833;"sous vêtement";"chausses";
834;"intérieur";"robe";
835;"doublure";"chaperon";
836;"extérieur";"mantel";"jusqu'au pieds"
837;"intérieur";"robe";"grand jusqu'au pieds"
838;"extérieur";"sac";
839;"tête";"chaperon";
840;"sous vêtement";"chausses";
841;"extérieur";"mantel";"double à chevaucher"
842;"extérieur";"sac";
843;"tête";"chaperon";
844;"sous vêtement";"chausses";
845;"intérieur";"cotte";"petit"
846;"intérieur";"cotte";
847;"tête";"chaperon";
848;"intérieur";"cotte";
849;"tête";"chaperon";
850;"intérieur";"cotte";
851;"intérieur";"cotte ardie";
852;"intérieur";"cotte";"petit"
853;"intérieur";"cotte";
854;"extérieur";"mantel";
855;"extérieur";"sac";
856;"sous vêtement";"chausses";
857;"tête";"chaperon";
858;"intérieur";"robe";
859;"intérieur";"robe";
860;"intérieur";"cotte";
861;"intérieur";"cotte";
862;"intérieur";"robe";
863;"extérieur";"sac";
864;"doublure";"houpelande";
865;"sous vêtement";"chausses";
866;"tête";"chaperon";
867;"extérieur";"veste";
868;"doublure";"sac";
869;"intérieur";"cotte";
870;"sous vêtement";"chausses";
871;"tête";"chaperon";
872;"intérieur";"robe";
873;"extérieur";"mantel";
874;"sous vêtement";"chausses";
875;"sous vêtement";"chausses";
876;"extérieur";"sac";
877;"sous vêtement";"chausses";
878;"tête";"chape";
879;"extérieur";"veste";
880;"doublure";"chaperon";
881;"extérieur";"veste";
882;"doublure";"chaperon";"à chevaucher"
883;"sous vêtement";"chausses";"à chevaucher"
884;"intérieur";"robe";
885;"intérieur";"robe";
886;"mobilier";"couverture de chariot";
887;"mobilier";"couverture de chariot";
888;"extérieur";"mantel";
889;"intérieur";"cotte";
890;"mobilier";"couverture d'acouchement";
891;"extérieur";"mantel";
892;"extérieur";"mantel";
893;"extérieur";"veste";
894;"sous vêtement";"chausses";
895;"parure";"barete";
896;"parure";"gant";
897;"parure";"chapeau";"de pluvis"
898;"mobilier";"tenture";
899;"mobilier";"tenture";
900;"intérieur";"cotte";
901;"sous vêtement";"chausses";
902;"religieux";"habit";
903;;;
904;;;
905;"intérieur";"veste";
906;"doublure";"mantel";
907;"mobilier";"fenêtre";
908;"mobilier";"fenêtre";
909;"intérieur";"cotte";
910;"intérieur";"cotte";
911;"extérieur";"mantel";
912;"intérieur";"cotte";
913;"parure";"rebord";
914;"sous vêtement";"chausses";
915;"sous vêtement";"chausses";
916;"extérieur";"sac";
917;"tête";"chaperon";
918;"sous vêtement";"chausses";
919;"tête";"chaperon";
920;"sous vêtement";"chausses";
921;"extérieur";"sac";
922;"mobilier";"fenêtre";
923;"sous vêtement";"chausses";
924;"sous vêtement";"chausses";
925;"sous vêtement";"chausses";
926;"cheval";"couverture de selle";
927;"sous vêtement";"chausses";
928;"sous vêtement";"chausses";
929;"tête";"chaperon";
930;"tête";"chaperon";
931;"sous vêtement";"chausses";
932;"ajusté";"gipon";
933;"extérieur";"tabart";
934;"extérieur";"veste";
935;"extérieur";"veste";
936;"extérieur";"veste";
937;"tête";"chaperon";
938;"sous vêtement";"chausses";
939;"ajusté";"gipon";
940;"parure";"manche";
941;"ajusté";"gipon";
942;"doublure";"veste";
943;"ajusté";"gipon";
944;"extérieur";"veste";
945;"ajusté";"gipon";
946;"ajusté";"gipon";
947;"vêtement";"veste";
948;"vêtement";"veste";
949;"extérieur";"veste";
950;"intérieur";"robe";
951;"tête";"chaperon";
952;"sous vêtement";"chausses";
953;"extérieur";"sac";
954;"intérieur";"robe";
955;"extérieur";"veste";
956;"parure";"rebord";
957;"parure";"rebord";"de robe"
958;"sous vêtement";"chausses";
959;"extérieur";"veste";
960;"doublure";"veste";
961;"autre";"emballage";
962;"autre";"emballage";
963;"ajusté";"gipon";
964;"extérieur";"veste";
965;"parure";"bouton";"gros"
966;"extérieur";"sac";
967;"ajusté";"gipon";
968;"sous vêtement";"chausses";
969;"parure";"manche";
970;"vêtement";"veste";
971;"cheval";"couverture de selle";
972;"intérieur";"robe";
973;"doublure";"houpelande";
974;"intérieur";"cotte";
975;"autre";"sac de blé";
976;"ajusté";"gipon";
977;"doublure";"houpelande";
978;"doublure";"houpelande";
979;"doublure";"houpelande";
980;"sous vêtement";"chausses";
981;"vêtement";"veste";
982;"sous vêtement";"chausses";
983;"extérieur";"sac";
984;"mobilier";"fenêtre";
985;"ajusté";"gipon";
986;"sous vêtement";"chausses";
987;"vêtement";"veste";
988;"vêtement";"veste";
989;"intérieur";"robe";
990;"sous vêtement";"chausses";
991;"tête";"chaperon";
992;"tête";"coiffe";
993;"autre";"emballage";
994;"intérieur";"corset";
995;"intérieur";"robe";
996;"intérieur";"robe";
997;"extérieur";"houpelande";"grand"
998;"tête";"chaperon";
999;"intérieur";"cotte ardie";
1000;"tête";"chaperon";
1001;"intérieur";"cotte";"à chevaucher"
1002;"sous vêtement";"gonelle";
1003;"intérieur";"robe";
1004;"intérieur";"cotte";
1005;"autre";"emballage";
1006;"intérieur";"cotte";
1007;"intérieur";"robe";
1008;"doublure";"houpelande";
1009;"tête";"chapeau";"paleari"
1010;"doublure";"chaperon";
1011;"doublure";"houpelande";
1012;"vêtement";;
1013;"vêtement";"estoffe de robe";
1014;"extérieur";"houpelande";
1015;"sous vêtement";"chausses";
1016;"sous vêtement";"chausses";
1017;"parure";"bouton";
1018;"parure";"flechorum";"à chapeau"
1019;"intérieur";"robe";
1020;"extérieur";"mantel";
1021;"extérieur";"mantel";
1022;"extérieur";"mantel";
1023;"intérieur";"cotte";
1024;"extérieur";"mantel";
1025;"religieux";"habit";
1026;"extérieur";"mantel";
1027;"vêtement";"veste";
1028;"intérieur";"cotte";
1029;"ajusté";"gipon";
1030;"doublure";"cotte";
1031;"extérieur";"mantel";
1032;"sous vêtement";"corporal";
1033;"doublure";"couverture";
1034;"mobilier";"couverture";
1035;"mobilier";"couverture";
1036;"cheval";"selle";
1037;"extérieur";"mantel";
1038;"intérieur";"robe";
1039;"militaire";"tabart";
1040;"sous vêtement";"chausses";
1041;"sous vêtement";"chausses";
1042;"parure";"scapuorum";"mettre dans les chausses"
1043;"parure";"bouton";"gros"
1044;"doublure";"houpelande";
1045;"tête";"chapeau";"paleari"
1046;"tête";"chapeau";"paleari"
1047;"extérieur";"houpelande";"long"
1048;"sous vêtement";"chausses";
1049;"tête";"chaperon";
1050;"cheval";"couverture de selle";
1051;"intérieur";"garde corps";"double"
1052;"sous vêtement";"chausses";
1053;"extérieur";"houpelande";
1054;"extérieur";"cape";
1055;"sous vêtement";"chausses";
1056;"militaire";"veste";"à porter sur plate"
1057;"sous vêtement";"chausses";
1058;"extérieur";"sac";
1059;"extérieur";"sac";
1060;"ajusté";"gipon";
1061;"ajusté";"gipon";
1062;"extérieur";"sac";
1063;"vêtement";"veste";
1064;"extérieur";"houpelande";
1065;"tête";"chaperon";
1066;"sous vêtement";"chausses";
1067;"ajusté";"gipon";
1068;"extérieur";"houpelande";
1069;"sous vêtement";"chausses";
1070;"tête";"chaperon";
1071;"extérieur";"sac";
1072;"ajusté";"gipe";
1073;"extérieur";"houpelande";
1074;"tête";"chaperon";
1075;"sous vêtement";"chausses";
1076;"ajusté";"jaque";
1077;"tête";"chaperon";
1078;"sous vêtement";"chausses";
1079;"sous vêtement";"chausses";
1080;"extérieur";"mantel";"double à chevaucher"
1081;"extérieur";"houpelande";"double à chevaucher"
1082;"extérieur";"houpelande";
1083;"tête";"chaperon";
1084;"sous vêtement";"chausses";
1085;"sous vêtement";"chausses";
1086;"sous vêtement";"chausses";
1087;"extérieur";"houpelande";
1088;"tête";"chaperon";
1089;"sous vêtement";"chausses";
1090;"extérieur";"houpelande";
1091;"extérieur";"mantel";
1092;"doublure";"mantel";
1093;"sous vêtement";"chausses";
1094;"tête";"chaperon";
1095;"tête";"chaperon";
1096;"parure";"aiguillette";
1097;"extérieur";"sac";
1098;"extérieur";"sac";
1099;"doublure";"mitaine";
1100;"parure";"mitaine";
1101;"tête";"chaperon";
1102;"sous vêtement";"chausses";
1103;"sous vêtement";"chausses";
1104;"extérieur";"houpelande";
1105;"extérieur";"houpelande";
1106;"tête";"chaperon";
1107;"extérieur";"houpelande";
1108;"tête";"chaperon";
1109;"extérieur";"houpelande";"grand"
1110;"sous vêtement";"chausses";
1111;"extérieur";"houpelande";
1112;"tête";"chaperon";
1113;"extérieur";"mantel";
1114;"sous vêtement";"chausses";
1115;"extérieur";"mantel";"double"
1116;"extérieur";"houpelande";
1117;"tête";"chaperon";
1118;"sous vêtement";"chausses";
1119;"parure";"semelle de chausses";
1120;"parure";"semelle de chausses";
1121;"ajusté";"gipon";"garniture"
1122;"vêtement";"veste";
1123;"extérieur";"mantel";"double"
1124;"extérieur";"houpelande";
1125;"tête";"chaperon";
1126;"sous vêtement";"chausses";
1127;"extérieur";"mantel";"double"
1128;"tête";"chaperon";
1129;"sous vêtement";"chausses";
1130;"sous vêtement";"chausses";
1131;"sous vêtement";"chausses";
1132;"tête";"chaperon";
1133;"sous vêtement";"chausses";
1134;"tête";"chaperon";
1135;"vêtement";"veste";
1136;"extérieur";"houpelande";"court"
1137;"extérieur";"houpelande";
1138;"sous vêtement";"chausses";
1139;"extérieur";"mantel";
1140;"extérieur";"mantel";"double"
1141;"sous vêtement";"chausses";
1142;"militaire";"étandard";
1143;"ajusté";"gipon";
1144;"mobilier";"chambre";
1145;"extérieur";"houpelande";
1146;"parure";"chausson";
1147;"parure";"gant";"à faucon"
1148;"parure";"mitaine";
1149;"sous vêtement";"chausses";
1150;"intérieur";"robe";
1151;"cheval";"têtiere";
1152;"sous vêtement";"chausses";
23;"mobilier";"chambre";
24;"tête";"chapeau";
25;"mobilier";"chambre";"dites aux lions"
26;"sous vêtement";"chausses";
27;"intérieur";"robe";
28;"intérieur";"robe";
29;"intérieur";"robe";
30;"extérieur";"mantel";"double"
31;"ajusté";"sac";
32;"tête";"chaperon";
33;"sous vêtement";"chausses";
34;"cheval";"couverture de selle";
35;"militaire";"armure";
36;"intérieur";"cotte";
37;"extérieur";"houpelande";"grand"
38;"intérieur";"cotte";
39;"broderie";;
40;"batture";;
41;"ajusté";"sac";
42;"batture";;
43;"broderie";;
44;"ajusté";"gipon";
45;"extérieur";"houpelande";
46;"tête";"chapeau";
47;"sous vêtement";"chausses";
48;"extérieur";"houpelande";
49;"sous vêtement";"chausses";
50;"tête";"chaperon";
51;"parure";"manche";
52;"extérieur";"houpelande";
53;"sous vêtement";"chausses";
54;"tête";"chaperon";
55;"parure";"devise";
56;"extérieur";"mantel";"de plage"
57;"intérieur";"robe";
58;"ajusté";"sac";
59;"intérieur";"robe";
60;"extérieur";"chape";
61;"extérieur";"houpelande";
62;"intérieur";"mantel";
63;"sous vêtement";"gonelle";
64;"religieux";"froc";
65;"mobilier";"couverture de chariot";
66;"mobilier";"écusson";
67;"extérieur";"mantel";"double de ploge"
68;"extérieur";"houpelande";"de nuit"
69;"extérieur";"houpelande";"à chevaucher"
70;"intérieur";"robe";
71;"tête";"chapeau";"double"
72;"sous vêtement";"chausses";
73;"ajusté";"gipe";"de 3 toile"
74;"ajusté";"sac";"point"
75;"ajusté";"sac";"double"
76;"ajusté";"sac";"piqué"
77;"parure";"freppe";
78;"parure";"bouton";
79;"parure";"rivet";
80;"extérieur";"houpelande";"grand"
81;"sous vêtement";"chausses";
82;"tête";"chaperon";
83;"extérieur";"houpelande";
84;"extérieur";"mantel";
85;"sous vêtement";"chausses";
86;"tête";"chaperon";
87;"extérieur";"mantel";
88;"intérieur";"robe";
89;"sous vêtement";"chausses";
90;"tête";"chaperon";
91;"doublure";"mantel";
92;"tête";"chaperon";"double"
93;"ajusté";"jaque";
94;"extérieur";"mantel";"double à ploge"
95;"intérieur";"robe";
96;"cheval";"couverture de selle";
97;"intérieur";"robe";
98;"extérieur";"houpelande";"grand"
99;"tête";"chaperon";
100;"ajusté";"sac";
101;"tête";"chaperon";
102;"ajusté";"gipe";
103;"extérieur";"houpelande";
104;"ajusté";"sac";
105;"tête";"chaperon";
106;"extérieur";"houpelande";"long"
107;"ajusté";"sac";
108;"tête";"chaperon";
109;"ajusté";"sac";"double"
110;"tête";"chaperon";
111;"tête";"chaperon";
112;"sous vêtement";"chausses";
113;"ajusté";"gipe";"piqué"
114;"ajusté";"gipon";
115;"intérieur";"robe";
116;"extérieur";"mantel";"double"
117;"extérieur";"houpelande";"boutonné devant"
118;"extérieur";"mantel";"long"
119;"extérieur";"houpelande";
120;"intérieur";"cotte";
121;"sous vêtement";"gonelle";
122;"extérieur";"houpelande";"grand"
123;"extérieur";"houpelande";"grand"
124;"extérieur";"houpelande";"grand"
125;"extérieur";"houpelande";"grand"
126;;;
127;"parure";"mitaine";
128;"ajusté";"sac";
129;"parure";"mitaine";
130;"extérieur";"mantel";"long"
131;"sous vêtement";"chausses";
132;"tête";"chaperon";
133;"ajusté";"sac";
134;"ajusté";"sac";
135;"extérieur";"mantel";"double à chevaucher"
136;"ajusté";"gipon";
137;"intérieur";"robe";"long"
138;"sous vêtement";"blanchet";
139;"ajusté";"gipe";
140;"ajusté";"sac";"piqué"
141;"sous vêtement";"hure";
142;"ajusté";"sac";"double"
143;"extérieur";"houpelande";
144;"extérieur";"mantel";"double grand boutoné"
145;"extérieur";"mantel";"double"
146;"ajusté";"jaque";
147;"intérieur";"cotte";
148;"intérieur";"robe";
149;"intérieur";"robe";
150;"extérieur";"houpelande";"grand"
151;"sous vêtement";"chausses";
152;"tête";"chaperon";
153;"intérieur";"robe";
154;"intérieur";"robe";"grand"
155;"extérieur";"houpelande";"grand"
156;"sous vêtement";"chausses";
157;"tête";"chaperon";"double"
158;"intérieur";"houpelande";
159;"intérieur";"robe";
160;"doublure";"houpelande";
161;"ajusté";"gipon";"brodé d'argent"
162;"doublure";"houpelande";"long"
163;"parure";"aiguillette";
164;"ajusté";"gipon";
165;"extérieur";"houpelande";
166;"extérieur";"houpelande";
167;"parure";"broderie";
168;"parure";"poignet";
169;"ajusté";"gipon";"point à arbalète"
170;"extérieur";"houpelande";
171;"extérieur";"gipon";
172;"extérieur";"houpelande";
173;"extérieur";"houpelande";
174;"intérieur";"robe";
175;"sous vêtement";"chausses";
176;"parure";"mitaine";
177;"doublure";"sac";
178;"parure";"mitaine";
179;"mobilier";"malle";
180;"extérieur";"houpelande";
181;"sous vêtement";"chausses";
182;"tête";"chaperon";
183;"sous vêtement";"blanchet";
184;"sous vêtement";"chausses";
185;"ajusté";"gipon";
186;"autre";"bucine";
187;"autre";"bucine";
188;"ajusté";"gipon";
189;"extérieur";"houpelande";
190;"extérieur";"houpelande";
191;"ajusté";"gipon";
192;"intérieur";"robe";
193;"intérieur";"robe";
194;"extérieur";"mantel";"double"
195;"ajusté";"sac";
196;"tête";"chaperon";
197;"sous vêtement";"chausses";
198;"sous vêtement";"chausses";
199;"ajusté";"sac";"grand"
200;;;
201;"ajusté";"gipon";
202;"extérieur";"mantel";"double"
203;"ajusté";"sac";"grand"
204;"tête";"chaperon";"double"
205;"sous vêtement";"chausses";
206;"militaire";"étoffe de bacinet";
207;"doublure";"mantel";"grand"
208;"cheval";"housse de selle";
209;"doublure";"gant";
210;"autre";"emballage";
211;"extérieur";"chape";
212;"extérieur";"houpelande";"à pie"
213;"sous vêtement";"chausses";
214;"religieux";"froc";
215;"sous vêtement";"chausses";
216;"extérieur";"houpelande";
217;"tête";"chaperon";
218;"sous vêtement";"chausses";
219;"parure";"devise";
220;"intérieur";"robe";
221;"autre";"emballage";
222;"militaire";"tabart";
223;"intérieur";"robe";
224;"intérieur";"cotte";
225;"extérieur";"mantel";
226;"tête";"chaperon";
227;"cheval";"housse de selle";
228;"tête";"chaperon";
229;"ajusté";"sac";
230;"ajusté";"sac";
231;"tête";"chaperon";
232;"sous vêtement";"chausses";
233;"militaire";"armes de joute";
234;"sous vêtement";"chausses";
235;"tête";"chaperon";
236;"extérieur";"mantel";
237;"extérieur";"houpelande";
238;"tête";"chaperon";
239;"sous vêtement";"chausses";
240;"intérieur";"robe";
241;"intérieur";"robe";
242;"extérieur";"houpelande";
243;"tête";"chaperon";
244;"sous vêtement";"chausses";
245;"extérieur";"manche";
246;"extérieur";"houpelande";
247;"sous vêtement";"chausses";
248;"tête";"chaperon";
249;"sous vêtement";"chausses";
250;"cheval";"couverture de selle";
251;"doublure";"sac";
252;"ajusté";"sac";
253;"sous vêtement";"chausses";
254;"tête";"chaperon";
255;"intérieur";"robe";
256;"extérieur";"robe";
257;"intérieur";"robe";
258;"militaire";"aubergeon";
259;"intérieur";"robe";
260;"ajusté";"sac";
261;"ajusté";"gipon";
262;"intérieur";"robe";
263;"intérieur";"robe";
264;"extérieur";"robe";
265;"intérieur";"robe";
266;"cheval";;
267;"ajusté";"gipon";
268;"ajusté";"landier";
269;"ajusté";"sac";
270;"militaire";"tabart";
271;"extérieur";"mantel";"double"
272;"parure";"manche";
273;"extérieur";"houpelande";
274;"sous vêtement";"chausses";
275;"tête";"chaperon";
276;"parure";"poignet";
277;"cheval";"hure";
278;"parure";"gant";
279;"mobilier";"chambre";"moutons et bergers"
280;"ajusté";"gipon";
281;"ajusté";"gipon";
282;"extérieur";"mantel";
283;"extérieur";"houpelande";
284;"sous vêtement";"chausses";
285;"tête";"chaperon";
286;"ouvrage";"inconnue";
287;"mobilier";"housse de selle";
288;"extérieur";"robe";
289;"intérieur";"robe";
290;"intérieur";"robe";
291;"extérieur";"mantel";"de ploge"
292;"extérieur";"mantel";"grand"
293;"extérieur";"houpelande";
294;"parure";"manche";
295;"autre";"emballage";
296;"extérieur";"mantel";
297;"intérieur";"robe";
298;"militaire";"aubergeon";"acier"
299;"extérieur";"mantel";"double"
300;"sous vêtement";"chausses";
301;"ajusté";"sac";"double"
302;"tête";"chaperon";
303;"intérieur";"robe";
304;"extérieur";"houpelande";"grand"
305;"intérieur";"robe";
306;"extérieur";"houpelande";"fourré"
307;"intérieur";"houpelande";"long"
308;"ajusté";"sac";
309;"sous vêtement";"chausses";
310;"tête";"chaperon";
311;"extérieur";"houpelande";
312;"ajusté";"sac";"à aubergeon"
313;"extérieur";"houpelande";
314;"sous vêtement";"chausses";
315;"parure";"poignet";"de gipon"
316;"extérieur";"mantel";
317;"sous vêtement";"chausses";
318;"tête";"chaperon";
319;"extérieur";"mantel";"grand"
320;"extérieur";"houpelande";
321;"sous vêtement";"chausses";
322;"tête";"chaperon";
323;"sous vêtement";"gonelle";
324;"parure";"manche";
325;"extérieur";"houpelande";"grand"
326;"sous vêtement";"gonelle";
327;"parure";"manche";
328;"religieux";"eschapolleyros";
329;"extérieur";"mantel";"grand"
330;"religieux";"froc";
331;"extérieur";"houpelande";"grand"
332;"intérieur";"robe";
333;"extérieur";"mantel";
334;"intérieur";"robe";
335;"extérieur";"mantel";
336;"intérieur";"cotte";
337;"parure";"rayures";"de cote"
338;"extérieur";"houpelande";"double"
339;"extérieur";"houpelande";"double"
340;"ajusté";"gipon";
341;"ajusté";"gipon";
342;"ajusté";"gipe";
343;"tête";"chaperon";"double"
344;"parure";"manche";
345;"ajusté";"jaque";
346;"militaire";"camail";"acier à aubergeon"
347;"militaire";"aubergeon";
348;"ajusté";"landier";
349;"ajusté";"gipon";"armeret"
350;"militaire";"piéce d'acier";
351;"parure";"bouton";
352;"extérieur";"mantel";"double"
353;"intérieur";"robe";
354;"extérieur";"mantel";
355;"intérieur";"robe";
356;"intérieur";"robe";
357;"intérieur";"robe";
358;"intérieur";"cotte";"à chevaucher"
359;"extérieur";"mantel";
360;"intérieur";"cotte";"à chevaucher"
361;"intérieur";"corset";
362;"intérieur";"cotte";
363;"intérieur";"cotte";"à chevaucher"
364;"intérieur";"robe";
365;"intérieur";"robe";
366;"intérieur";"robe";
367;"intérieur";"robe";
368;"intérieur";"robe";
369;"mobilier";"couverture";"grand"
370;"mobilier";"couverture";
371;"mobilier";"couverture";
372;"mobilier";"couverture";
373;"mobilier";"couverture";
374;"mobilier";"couverture";
375;"mobilier";"couverture";
376;"mobilier";"couverture";
377;"mobilier";"couverture";
378;"mobilier";"couverture";
379;"mobilier";"couverture";
380;"mobilier";"couverture";
381;"mobilier";"couverture";
382;"mobilier";"couverture";
383;"mobilier";"écusson";"de couverture"
384;"mobilier";"écusson";
385;"doublure";"couverture";
386;"doublure";"couverture";
387;"autre";"emballage";
388;"autre";"emballage";
389;"intérieur";"cotte";"à chevaucher"
390;"extérieur";"mantel";"double"
391;"intérieur";"corset";
392;"intérieur";"cotte";
393;"intérieur";"cotte";"à chevaucher"
394;"intérieur";"robe";"entier"
395;"autre";"emballage";
396;"intérieur";"robe";
397;"extérieur";"mantel";
398;"extérieur";"houpelande";"grand"
399;"tête";"chaperon";"double"
400;"sous vêtement";"chausses";
401;"ajusté";"gipe";
402;"tête";"chaperon";
403;"intérieur";"robe";
404;"sous vêtement";"chausses";
405;"intérieur";"robe";
406;"intérieur";"robe";
407;"doublure";"houpelande";
408;"tête";"chaperon";
409;"parure";"manche";
410;"intérieur";"robe";
411;"extérieur";"mantel";
412;"intérieur";"robe";
413;"militaire";"tabart";
414;"ajusté";"gipon";
415;"sous vêtement";"chausses";
416;"tête";"chaperon";
417;"ajusté";"gipe";
418;"cheval";"couverture de selle";
419;"intérieur";"robe";
420;"intérieur";"robe";
421;"intérieur";"robe";
422;"doublure";"couverture";
423;"autre";"emballage";
424;"extérieur";"mantel";"cengle"
425;"extérieur";"mantel";"double"
426;"sous vêtement";"chausses";
427;"sous vêtement";"chausses";
428;"tête";"chaperon";
429;"sous vêtement";"chausses";
430;"sous vêtement";"chausses";
431;"cheval";"couverture de selle";
432;"parure";"écusson";"armes"
433;"cheval";"couverture";
434;"intérieur";"robe";
435;"militaire";"tabart";
436;"intérieur";"robe";
437;"sous vêtement";"chausses";
438;"tête";"chaperon";
439;"sous vêtement";"chausses";
440;"parure";"rayures";"de robe"
441;"intérieur";"robe";
442;"intérieur";"robe";
443;"intérieur";"robe";
444;"intérieur";"robe";
445;"intérieur";"robe";
446;"intérieur";"robe";
447;"intérieur";"robe";
448;"extérieur";"houpelande";
449;"sous vêtement";"chausses";
450;"tête";"chaperon";
451;"militaire";"tabart";
452;"sous vêtement";"chausses";
