"Id";"Type";"Nature";"Caracteristique"
5090;"cheval";"couverture de selle";
5091;"intérieur";"robe";
5092;"sous vêtement";"gonelle";
5093;"intérieur";"robe";
5094;"intérieur";"robe";
5095;"tête";"chaperon";
5096;"intérieur";"robe";
5097;"intérieur";"robe";
5098;"intérieur";"robe";
5099;"tête";"chapeau";
5100;"intérieur";"robe";
5101;"intérieur";"robe";
5102;"intérieur";"robe";
5103;"sous vêtement";"chausses";
5104;"intérieur";"robe";
5105;"sous vêtement";"chausses";
5106;"tête";"chaperon";
5107;"sous vêtement";"chausses";
5108;"tête";"chaperon";
5109;"parure";"manche";
5110;"sous vêtement";"chausses";
5111;"intérieur";"robe";
5112;"extérieur";"houpelande";
5113;"extérieur";"houpelande";
5114;"extérieur";"houpelande";
5115;"extérieur";"houpelande";
5116;"vêtement";"habit";
5117;"vêtement";"habit";
5118;"vêtement";"habit";
5119;"vêtement";"habit";
5120;"vêtement";"habit";
5121;"vêtement";"habit";
5122;"vêtement";"veste";
5123;"extérieur";"houpelande";
5124;"extérieur";"houpelande";"grand"
5125;"intérieur";"robe";
5126;"intérieur";"robe";
5127;"extérieur";"houpelande";
5128;"intérieur";"robe";
5129;"tête";"chaperon";
5130;"parure";"manche";
5131;"intérieur";"robe";
5132;"parure";"aiguillette";
5133;"tête";"chapeau";
5134;"tête";"chapeau";"à plume noir et autruche"
5135;"parure";"bouton";"émaillé et à oiseaux"
5136;"sous vêtement";"chausses";
5137;"parure";"manche";
5138;"tête";"chaperon";
5139;"vêtement";"robe";
5140;"intérieur";"robe";
5141;"sous vêtement";"chausses";
5142;"intérieur";"robe";
5143;"intérieur";"robe";
5144;"militaire";"pennon";"armes odon de Villars"
5145;"vêtement";"robe";
5146;"mobilier";"chambre";"à grand noeud"
5147;"broderie";"devise";
5148;"vêtement";"robe";
5149;"intérieur";"robe";
5150;"vêtement";"robe";
5151;"vêtement";"robe";
5152;"vêtement";"robe";
5153;"vêtement";"robe";
5154;"parure";"manche";
5155;"militaire";"bandière";
5156;"tête";"chapeau de paille";
5157;"parure";"manche";
5158;"vêtement";"veste";
5159;"vêtement";"veste";
5160;"parure";"manche";
5161;"tête";"chapeau";
5162;"tête";"chapeau";
5163;"parure";"aiguillette";
5164;"tête";"chapeau";
5165;"parure";"manche";
5166;"parure";"manche";
5167;"extérieur";"houpelande";
5168;"vêtement";"robe";
5169;"vêtement";"robe";
5170;"intérieur";"robe";"italienne"
5171;"extérieur";"houpelande";"grand"
5172;"vêtement";"robe";"à chevaucher"
5173;"parure";"manche";
5174;"mobilier";"linteamenta";
5175;"sous vêtement";"chemise";
5176;"tête";"coiffe";
5177;"autre";"chaussure";
5178;"autre";"épingle";
5179;"sous vêtement";"chemise";
5180;"mobilier";"drap de lit";
5181;"tête";"coiffe";
5182;"autre";"chaussure";
5183;"autre";"épingle";
5184;"vêtement";"veste";
5185;"vêtement";"robe";
5186;"parure";"manche";
5187;"ajusté";"gipon";
5188;"tête";"chapeau";
5189;"parure";"aiguillette";
5190;"tête";"chapeau de paille";
5191;"sous vêtement";"chausses";
5192;"cheval";"couverture de selle";
5193;"extérieur";"houpelande";"à chevaucher"
5194;"tête";"chaperon";
5195;"vêtement";"robe";
5196;"parure";"freppe";
5197;"vêtement";"robe";
5198;"tête";"chaperon";
5199;"vêtement";"robe";
5200;"ajusté";"gipon";
5201;"extérieur";"houpelande";
5202;"sous vêtement";"chausses";
5203;"tête";"chaperon";
5204;"sous vêtement";"chausses";
5205;"sous vêtement";"chausses";
5206;"extérieur";"houpelande";
5207;"extérieur";"houpelande";"à relever"
5208;"extérieur";"mantel";
5209;"vêtement";"robe";
5210;"vêtement";"robe";
5211;"vêtement";"robe";
5212;"vêtement";"robe";
5213;"extérieur";"mantel";
5214;"vêtement";"robe";
5215;"vêtement";"robe";
5216;"vêtement";"robe";
5217;"sous vêtement";"chausses";
5218;"vêtement";"robe";
5219;"vêtement";"robe";
5220;"vêtement";"robe";
5221;"vêtement";"robe";
5222;"vêtement";"robe";
5223;"vêtement";"robe";
5224;"vêtement";"robe";
5225;"vêtement";"robe";
5226;"vêtement";"robe";
5227;"autre";"tapis de compte";
5228;"sous vêtement";"chausses";
5229;"tête";"chaperon";
5230;"parure";"manche";
5231;"sous vêtement";"chausses";
5232;"sous vêtement";"chausses";
5233;"sous vêtement";"chausses";
5234;"sous vêtement";"chausses";
5235;"vêtement";"robe";
5236;"vêtement";"robe";
5237;"mobilier";"couverture";
5238;"extérieur";"houpelande";
5239;"vêtement";"houpelande";"court"
5240;"tête";"chaperon";
5241;"ajusté";"gipon";"petit"
5242;"vêtement";"robe";"long"
5243;"vêtement";"robe";"long"
5244;"ajusté";"gipon";"petit"
5245;"vêtement";"robe";"long"
5246;"vêtement";"robe";"à giron"
5247;"vêtement";"robe";"à giron"
5248;"vêtement";"robe";"à giron"
5249;"tête";"chaperon";
5250;"ajusté";"gipon";"petit"
5251;"vêtement";"robe";"long"
5252;"tête";"chaperon";
5253;"vêtement";"robe";"long"
5254;"vêtement";"robe";
5255;"vêtement";"houpelande";
5256;"extérieur";"houpelande";
5257;"extérieur";"houpelande";"brodé de la devise de 8"
5258;"extérieur";"houpelande";"brodé de la devise de 8"
5259;"extérieur";"houpelande";
5260;"extérieur";"houpelande";
5261;"mobilier";"chambre";
5262;"mobilier";"banchier";"brodé"
5263;"mobilier";"banchier";
5264;"mobilier";"banchier";
5265;"mobilier";"chambre";
5266;"mobilier";"coussin";
5267;"mobilier";"banchier";
5268;"tête";"chapeau";
5269;"tête";"chapeau de paille";"blanc"
5270;"tête";"chapeau de paille";"noir à plume d'autruche"
5271;"tête";"barete";
5272;"tête";"chapeau";"à plume d'autruche"
5273;"tête";"chapeau de paille";"noir à plume d'autruche"
5274;"tête";"chapeau";
5275;"tête";"chapeau de paille";
5276;"vêtement";"robe";
5277;"vêtement";"robe";
