"Parure";"Materiaux";"TypeMesure";"Quantite";"Unite";"provenance_mesure";"Conversion";"Materiaux_Achete";"usage"
8190;11169;"longueur";;"aune";;;0;
8192;11171;"longueur";;"aune";;;0;
8201;11199;"longueur";;"aune";;;0;
8201;11200;"pelleterie";;"bête";;;0;"doublure"
8202;11201;"longueur";;"aune";;;0;
8203;11202;"longueur";;"aune";;;0;"doublure"
8204;11203;"longueur";;"aune";;;0;
8206;11205;"pelleterie";;"bête";;;0;"doublure"
8208;11207;"pelleterie";2,00;"bête";;;0;"doublure"
8209;11208;"longueur";;"aune";;;0;
8215;11214;"longueur";;"aune";;;0;
8224;11232;"longueur";;"aune";;;0;
8232;11242;"longueur";;"aune";;;0;
8232;11243;"longueur";;"aune";;;0;"doublure"
8241;11257;"longueur";;"aune";;;0;
