"Parure";"Materiaux";"TypeMesure";"Quantite";"Unite";"provenance_mesure";"Conversion";"Materiaux_Achete";"usage"
6032;8183;"longueur";;"aune";;;0;
6038;8197;"longueur";;"aune";;;0;
6076;8243;"longueur";;"aune";;;0;"doublure"
6077;8244;"longueur";;"aune";;;0;"doublure"
6078;8245;"longueur";;"aune";;;0;"doublure"
6080;8249;"longueur";;"aune";;;0;
6094;8263;"longueur";;"aune";;;0;
6109;8274;"longueur";;"aune";;;0;
6111;8275;"longueur";;"aune";;;0;
6114;8278;"longueur";;"aune";;;0;
6115;8281;"longueur";;"aune";;;0;
6126;8309;"longueur";;"aune";;;0;
6141;8336;"longueur";;"aune";;;0;
6153;8357;"longueur";;"aune";;;0;
6157;8360;"longueur";;"aune";;;0;
6171;8372;"longueur";;"aune";;;0;
6186;8388;"longueur";;"aune";;;0;
6216;8433;"longueur";;"aune";;;0;
6223;8437;"longueur";;"aune";;;0;
6223;8438;"longueur";;"aune";;;0;
6224;8439;"longueur";;"aune";;;0;
6224;8440;"longueur";;"aune";;;0;
6240;8480;"longueur";;"aune";;;0;
6242;8483;"longueur";;"aune";;;0;
6258;8510;"longueur";;"aune";;;0;
6259;8511;"longueur";;"aune";;;0;
6278;8534;"longueur";;"aune";;;0;
6284;8540;"longueur";;"aune";;;0;
6293;8560;"longueur";;"aune";;;0;
6298;8565;"longueur";;"aune";;;0;
6304;8576;"longueur";;"aune";;;0;
6305;8577;"longueur";;"aune";;;0;
6306;8578;"longueur";;"aune";;;0;
6307;8579;"longueur";;"aune";;;0;
6312;8582;"longueur";;"aune";;;0;
6313;8583;"longueur";;"aune";;;0;
6313;8584;"longueur";;"aune";;;0;"doublure"
6314;8585;"longueur";;"aune";;;0;
6314;8586;"longueur";;"aune";;;0;"doublure"
6329;8606;"longueur";;"aune";;;0;
6336;8619;"longueur";;"aune";;;0;
6339;8621;"longueur";;"aune";;;0;
6395;8711;"longueur";;"aune";;;0;
6406;8713;"longueur";;"aune";;;0;
6407;8715;"longueur";;"aune";;;0;
6408;8717;"longueur";;"aune";;;0;
6408;8718;"longueur";;"aune";;;0;"doublure"
6409;8720;"longueur";;"aune";;;0;
6410;8722;"longueur";;"aune";;;0;
6411;8724;"longueur";;"aune";;;0;
6412;8725;"longueur";;"aune";;;0;
6413;8726;"longueur";;"aune";;;0;
6413;8727;"longueur";;"aune";;;0;"doublure"
6416;8728;"longueur";;"aune";;;0;
6416;8729;"longueur";;"aune";;;0;"doublure"
6419;8730;"longueur";;"aune";;;0;
6420;8732;"longueur";;"aune";;;0;
6427;8737;"longueur";;"aune";;;0;
6428;8738;"longueur";;"aune";;;0;
6452;8760;"longueur";;"aune";;;0;
6456;8762;"longueur";;"aune";;;0;
6458;8774;"longueur";;"aune";;;0;
6459;8777;"longueur";;"aune";;;0;
6460;8779;"longueur";;"aune";;;0;
6463;8789;"longueur";;"aune";;;0;
6487;8822;"longueur";;"aune";;;0;
6500;8840;"longueur";;"aune";;;0;
6501;8841;"longueur";;"aune";;;0;
6503;8853;"longueur";;"aune";;;0;
6539;8935;"pelleterie";;"bête";;;0;"doublure"
6540;8936;"longueur";;"aune";;;0;
6540;8937;"pelleterie";;"bête";;;0;"doublure"
6541;8938;"longueur";;"aune";;;0;
6541;8939;"pelleterie";;"bête";;;0;"doublure"
6542;8940;"longueur";;"aune";;;0;
6542;8941;"pelleterie";;"bête";;;0;"doublure"
6554;8986;"longueur";;"aune";;;0;
6556;8987;"longueur";;"aune";;;0;
6556;8988;"longueur";;"aune";;;0;"doublure"
6557;8989;"longueur";;"aune";;;0;
6558;8990;"longueur";;"aune";;;0;
6559;8991;"longueur";;"aune";;;0;
6560;8992;"longueur";;"aune";;;0;
6566;8999;"longueur";7,66;"aune";;;0;
6568;9000;"longueur";;"aune";;;0;
6569;9001;"longueur";;"aune";;;0;
6570;9002;"longueur";;"aune";;;0;
6570;9003;"longueur";;"aune";;;0;"doublure"
6571;9004;"longueur";;"aune";;;0;
6578;9022;"longueur";;"aune";;;0;
6579;9023;"longueur";;"aune";;;0;
6581;9024;"longueur";78,00;"aune";;;0;
6581;9025;"longueur";78,00;"aune";;;0;
6609;9073;"longueur";;"aune";;;0;
6611;9074;"longueur";;"aune";;;0;
6611;9075;"longueur";;"aune";;;0;"doublure"
6613;9076;"longueur";;"aune";;;0;
6616;9077;"longueur";;"aune";;;0;
6624;9085;"longueur";;"aune";;;0;
6625;9086;"longueur";;"aune";;;0;
6634;9087;"longueur";;"aune";;;0;
6642;9088;"longueur";;"aune";;;0;
6645;9090;"longueur";;"aune";;;0;
6646;9093;"longueur";17,25;"aune";;;0;
6657;9119;"longueur";;"aune";;;0;
6671;9146;"longueur";;"aune";;;0;
6679;9160;"longueur";;"aune";;;0;
6691;9177;"longueur";;"aune";;;0;
6692;9179;"longueur";;"aune";;;0;
6694;9181;"longueur";;"aune";;;0;
6695;9182;"longueur";;"aune";;;0;
6698;9185;"longueur";;"aune";;;0;
6699;9186;"longueur";;"aune";;;0;
6700;9187;"longueur";;"aune";;;0;
6700;9188;"longueur";;"aune";;;0;"doublure"
6702;9196;"longueur";;"aune";;;0;
6705;9204;"longueur";;"aune";;;0;
6713;9209;"longueur";;"aune";;;0;
6720;9213;"longueur";;"aune";;;0;
6720;9214;"pelleterie";;"dos";;;0;"doublure"
6722;9218;"longueur";;"aune";;;0;
6737;9236;"longueur";;"aune";;;0;
6738;9237;"longueur";;"aune";;;0;
6756;9249;"longueur";;"aune";;;0;
6757;9250;"longueur";;"aune";;;0;
6761;9252;"longueur";;"aune";;;0;
6763;9255;"longueur";;"aune";;;0;
6764;9256;"longueur";;"aune";;;0;
6765;9257;"longueur";;"aune";;;0;
6766;9258;"longueur";;"aune";;;0;
6767;9259;"longueur";;"aune";;;0;
6768;9260;"longueur";;"aune";;;0;
6769;9261;"longueur";;"aune";;;0;
6779;9279;"longueur";;"aune";;;0;
6781;9281;"longueur";;"aune";;;0;
6781;9284;"pelleterie";;"bête";;;0;"doublure"
6782;9282;"longueur";;"aune";;;0;
6782;9283;"pelleterie";;"bête";;;0;"doublure"
6783;9285;"longueur";;"aune";;;0;
6788;9290;"longueur";;"aune";;;0;
6792;9458;"longueur";;"aune";;;0;
6793;9459;"longueur";;"aune";;;0;
6794;9296;"longueur";;"aune";;;0;
6795;9297;"longueur";;"aune";;;0;
6796;9298;"longueur";;"aune";;;0;
6797;9299;"longueur";;"aune";;;0;
6798;9300;"longueur";;"aune";;;0;
6798;9301;"longueur";;"aune";;;0;"doublure"
6799;9302;"longueur";;"aune";;;0;
6800;9303;"longueur";;"aune";;;0;
6800;9304;"longueur";;"aune";;;0;
6800;9305;"longueur";;"aune";;;0;
6800;9306;"longueur";;"aune";;;0;"doublure"
6802;9314;"longueur";;"aune";;;0;
6803;9315;"longueur";;"aune";;;0;
6804;9316;"longueur";;"aune";;;0;
6805;9318;"longueur";;"aune";;;0;
6806;9321;"longueur";;"aune";;;0;
