"compte";"numTrans";"Personne";"Expression"
"1 MI 146, B2, R24";2631;1350;"implicite"
"1 MI 146, B2, R24";2632;812;"implicite"
"1 MI 146, B2, R24";2633;1351;"implicite"
"1 MI 146, B2, R24";2634;1351;"implicite"
"1 MI 146, B2, R24";2635;1351;"implicite"
"1 MI 146, B2, R24";2636;1351;"implicite"
"1 MI 146, B2, R24";2637;1351;"implicite"
"1 MI 146, B2, R24";2641;258;"implicite"
"1 MI 146, B2, R24";2665;1366;"implicite"
"1 MI 146, B2, R24";2670;258;"implicite"
"1 MI 146, B2, R24";2680;258;"implicite"
"1 MI 146, B2, R24";2691;812;"implicite"
"1 MI 146, B2, R24";2697;812;"implicite"
"1 MI 146, B2, R24";2698;1380;"implicite"
"1 MI 146, B2, R24";2699;812;"implicite"
"1 MI 146, B2, R24";2706;622;"implicite"
"1 MI 146, B2, R24";2707;622;"implicite"
"1 MI 146, B2, R24";2739;1;"implicite"
"1 MI 146, B2, R24";2756;1;"implicite"
"1 MI 146, B2, R24";2757;812;"mercier"
"1 MI 146, B2, R24";2760;1;"implicite"
"1 MI 146, B2, R24";2763;812;"mercier"
"1 MI 146, B2, R24";2765;966;"implicite"
"1 MI 146, B2, R24";2770;1317;"implicite"
"1 MI 146, B3, R32";4472;33;"couturier"
"1 MI 146, B3, R32";4473;1366;"implicite"
"1 MI 146, B3, R32";4488;1672;"implicite"
"1 MI 146, B3, R32";4489;8;"implicite"
"1 MI 146, B3, R32";4490;63;"implicite"
"1 MI 146, B3, R32";4507;63;"implicite"
"1 MI 146, B3, R32";4508;1366;"implicite"
"1 MI 146, B3, R32";4513;61;"pelletier"
"1 MI 146, B3, R32";4524;305;"implicite"
"1 MI 146, B3, R32";4529;63;"implicite"
"1 MI 146, B3, R32";4537;1906;"implicite"
"1 MI 146, B3, R32";4538;8;"implicite"
"1 MI 146, B3, R32";4548;1659;"pelletier"
"1 MI 146, B3, R32";4549;335;"implicite"
"1 MI 146, B3, R32";4549;676;"implicite"
"1 MI 146, B3, R33";4570;63;"implicite"
"1 MI 146, B3, R33";4571;8;"implicite"
"1 MI 146, B3, R33";4572;8;"implicite"
"1 MI 146, B3, R33";4573;8;"implicite"
"1 MI 146, B3, R33";4574;1914;"implicite"
"1 MI 146, B3, R33";4577;61;"pelletier"
"1 MI 146, B3, R33";4578;101;"pelletier"
"1 MI 146, B3, R33";4580;61;"pelletier"
"1 MI 146, B3, R33";4604;49;"mercier"
"1 MI 146, r. 28";2786;61;"pellicier"
"1 MI 146, r. 28";2821;1421;"implicite"
"1 MI 146, r. 28";2832;61;"pellicier"
"1 MI 146, r. 28";2833;61;"pellicier"
"1 MI 146, r. 28";2834;61;"pellicier"
"1 MI 146, r. 28";2836;61;"pellicier"
"1 MI 146, r. 28";2837;245;"pellicier"
"1 MI 146, r. 29";2888;1461;"implicite"
"1 MI 146, r. 29";2890;1366;"implicite"
"1 MI 146, r. 29";2891;1366;"implicite"
"1 MI 146, r. 29";2897;61;"pellicier"
"1 MI 146, r. 30";2910;1468;"implicite"
"1 MI 146, r. 30";2915;61;"pelletier"
"1 MI 146, r. 30";2925;1471;"implicite"
"1 MI 146, r. 30";3015;1;"implicite"
"1 MI 146, r. 30";3018;1;"implicite"
"1 MI 146, r. 30";3023;1504;"implicite"
"1 MI 146, r. 30";3028;1148;"implicite"
"1 MI 146, r. 30";3030;1366;"implicite"
"1 MI 146, r. 4, R36";5125;33;"couturier"
"1 MI 146, r. 4, R36";5149;1014;"couturier"
"1 MI 146, r. 4, R36";5150;2138;"facteur"
"1 MI 146, r. 4, R36";5159;1976;"implicite"
"1 MI 146, r. 4, R36";5161;331;"implicite"
"1 MI 146, r. 4, R36";5170;1961;"couturier"
"1 MI 146, r. 4, R37";5236;2168;"pelletier"
"1 MI 146, r. 4, R37";5237;2168;"pelletier"
"1 MI 146, r. 4, R37";5238;251;"implicite"
"1 MI 146, r. 4, R37";5239;1471;"implicite"
"1 MI 146, r. 4, R37";5240;2169;"implicite"
"1 MI 146, r. 4, R37";5241;1471;"implicite"
"1 MI 146, r. 4, R37";5242;2170;"implicite"
"1 MI 146, r. 4, R37";5243;1471;"implicite"
"1 MI 146, r. 4, R37";5244;1471;"implicite"
"1 MI 146, r. 4, R37";5248;2174;"mercier"
"1 MI 146, r. 4, R37";5250;2176;"implicite"
"1 MI 146, r. 4, R37";5252;8;"implicite"
"1 MI 146, r. 4, R37";5253;8;"implicite"
"1 MI 146, r. 4, R37";5257;2186;"giponier"
"1 MI 146, r. 4, R37";5258;2186;"giponier"
"1 MI 146, r. 4, R37";5260;1;"implicite"
"1 MI 146, r. 4, R37";5265;309;"implicite"
"1 MI 146, r. 4, R37";5266;309;"implicite"
"1 MI 146, r. 4, R37";5267;309;"implicite"
"1 MI 146, r. 4, R37";5268;309;"implicite"
"1 MI 146, r. 4, R37";5269;1976;"implicite"
"1 MI 146, r. 4, R37";5270;2195;"implicite"
"1 MI 146, r. 4, R37";5272;1976;"implicite"
"1 MI 146, r. 4, R37";5273;1;"implicite"
"1 MI 146, r. 4, R37";5275;1;"implicite"
"1 MI 146, r. 4, R37";5280;335;"implicite"
"1 MI 146, r. 4, R37";5282;147;"implicite"
"1 MI 146, r. 4, R37";5283;147;"implicite"
"1 MI 146, r. 4, R37";5284;147;"implicite"
"1 MI 146, r. 4, R37";5285;147;"implicite"
"1 MI 146, r. 4, R37";5286;147;"implicite"
"1 MI 146, r. 4, R37";5287;147;"implicite"
"1 MI 146, r. 4, R37";5291;1961;"implicite"
"1 MI 146, r. 4, R37";5293;2201;"mercier"
"1 MI 146, r. 4, R37";5294;2201;"mercier"
"1 MI 146, r. 4, R37";5295;2201;"mercier"
"1 MI 146, r. 4, R37";5299;2202;"implicite"
"1 MI 146, r. 4, R37";5300;2202;"implicite"
"1 MI 146, r. 4, R37";5303;2291;"implicite"
"1 MI 146, r. 4, R37";5306;305;"drapier"
"1 MI 146, r. 4, R37";5307;335;"implicite"
"1 MI 146, r. 4, R37";5308;1976;"implicite"
"1 MI 146, r. 4, R37";5309;147;"pelletier"
"1 MI 146, r. 4, R37";5310;331;"implicite"
"1 MI 146, r. 4, R37";5311;335;"mercier"
"1 MI 146, r. 4, R37";5319;1;"implicite"
"1 MI 146, r. 4, R37";5320;331;"implicite"
"1 MI 146, r. 4, R37";5321;2209;"implicite"
"1 MI 146, r. 4, R37";5322;1976;"implicite"
"1 MI 146, r. 4, R37";5323;2210;"implicite"
"1 MI 146, r. 4, R37";5324;147;"implicite"
"1 MI 146, r. 4, R37";5329;147;"implicite"
"1 MI 146, r. 4, R37";5332;147;"pelletier"
"1 MI 146, r. 4, R37";5333;147;"pelletier"
"1 MI 146, r. 4, R37";5334;147;"implicite"
"1 MI 146, r. 4, R37";5336;147;"implicite"
"1 MI 146, r. 4, R37";5337;147;"implicite"
"1 MI 146, r. 4, R37";5340;147;"implicite"
"1 MI 146, r. 4, R37";5341;305;"implicite"
"1 MI 146, r. 4, R37";5342;74;"implicite"
"1 MI 146, r. 4, R37";5343;74;"implicite"
"1 MI 146, r. 4, R37";5344;74;"implicite"
"1 MI 146, r. 4, R37";5346;74;"implicite"
"1 MI 146, r. 4, R37";5347;74;"implicite"
"1 MI 146, r. 4, R37";5348;74;"implicite"
"1 MI 146, r. 4, R37";5349;74;"implicite"
"1 MI 146, r. 4, R37";5350;74;"implicite"
"1 MI 146, r. 4, R37";5351;147;"implicite"
"1 MI 146, r. 4, R37";5353;74;"implicite"
"1 MI 146, r. 4, R37";5354;74;"implicite"
"1 MI 146, r. 4, R37";5355;74;"implicite"
"1 MI 146, r. 4, R37";5356;74;"implicite"
"1 MI 146, r. 4, R37";5360;74;"couturier"
"1 MI 146, r. 4, R37";5365;74;"couturier"
"1 MI 146, r. 4, R37";5366;74;"couturier"
"1 MI 146, r. 4, R37";5367;74;"couturier"
"1 MI 146, r. 4, R37";5368;74;"couturier"
"1 MI 146, r. 4, R37";5370;74;"couturier"
"1 MI 146, r. 4, R37";5371;74;"couturier"
"1 MI 146, r. 4, R37";5372;74;"couturier"
"1 MI 146, r. 4, R37";5375;2222;"implicite"
"1 MI 146, r. 4, R37";5379;147;"implicite"
"1 MI 146, r. 4, R37";5380;147;"implicite"
"1 MI 146, r. 4, R37";5381;147;"implicite"
"1 MI 146, r. 4, R37";5382;147;"implicite"
"1 MI 146, r. 4, R37";5383;74;"implicite"
"1 MI 146, r. 4, R37";5384;74;"implicite"
"1 MI 146, r. 4, R37";5385;74;"implicite"
"1 MI 146, r. 4, R37";5387;47;"implicite"
"1 MI 146, r. 4, R37";5388;1;"implicite"
"1 MI 146, r. 4, R37";5391;305;"implicite"
"1 MI 146, r. 4, R37";5392;1980;"implicite"
"1 MI 146, r. 4, R37";5393;1980;"implicite"
"1 MI 146, r. 4, R37";5396;1976;"implicite"
"1 MI 146, r. 4, R37";5399;2235;"implicite"
"1 MI 146, r. 4, R37";5400;63;"implicite"
"1 MI 146, r. 4, R37";5406;147;"pelletier"
"1 MI 146, r. 4, R37";5408;305;"implicite"
"1 MI 146, r. 4, R37";5410;305;"implicite"
"1 MI 146, r. 4, R37";5411;305;"implicite"
"1 MI 146, r. 4, R37";5412;305;"implicite"
"1 MI 146, r. 4, R37";5413;305;"implicite"
"1 MI 146, r. 4, R37";5414;309;"implicite"
"1 MI 146, r. 4, R37";5415;309;"implicite"
"1 MI 146, r. 4, R37";5416;309;"implicite"
"1 MI 146, r. 4, R37";5417;309;"implicite"
"1 MI 146, r. 4, R37";5420;309;"implicite"
"1 MI 146, r. 4, R37";5421;147;"implicite"
"1 MI 146, r. 4, R37";5424;797;"implicite"
"1 MI 146, r. 4, R37";5425;1;"implicite"
"1 MI 146, r. 4, R37";5426;309;"implicite"
"1 MI 146, r. 4, R37";5431;245;"pelletier"
"1 MI 146, r. 4, R37";5432;2247;"drapier"
"1 MI 146, r. 4, R37";5433;2247;"implicite"
"1 MI 146, r. 4, R37";5437;47;"implicite"
"1 MI 146, r. 4, R37";5438;2103;"implicite"
"1 MI 146, r. 4, R37";5443;147;"pelletier"
"1 MI 146, r. 4, R37";5444;147;"pelletier"
"1 MI 146, r. 4, R37";5453;47;"implicite"
"1 MI 146, r. 4, R37";5456;2259;"giponier"
"1 MI 146, r. 4, R37";5457;147;"pelletier"
"1 MI 146, r. 4, R37";5458;147;"pelletier"
"1 MI 146, r. 4, R37";5459;47;"mercier"
"1 MI 146, r. 4, R37";5461;2167;"implicite"
"1 MI 146, r. 4, R37";5463;147;"implicite"
"1 MI 146, r. 4, R37";5464;1976;"implicite"
"1 MI 146, r. 4, R37";5466;2260;"implicite"
"1 MI 146, r. 4, R37";5467;47;"implicite"
"1 MI 146, r. 4, R37";5468;47;"implicite"
"1 MI 146, r. 4, R37";5469;47;"implicite"
"1 MI 146, r. 4, R37";5470;47;"implicite"
"1 MI 146, r. 4, R37";5472;1976;"implicite"
"1 MI 146, r. 4, R37";5480;2260;"implicite"
"1 MI 146, r. 4, R37";5481;2260;"implicite"
"1 MI 146, r. 4, R37";5482;2260;"implicite"
"1 MI 146, r. 4, R37";5483;2260;"implicite"
"1 MI 146, r. 4, R37";5484;238;"implicite"
"1 MI 146, r. 4, R37";5486;47;"implicite"
"1 MI 146, r. 4, R37";5487;74;"implicite"
"1 MI 146, r. 4, R37";5489;74;"implicite"
"1 MI 146, r. 4, R37";5492;335;"implicite"
"1 MI 146, r. 4, R37";5493;335;"implicite"
"1 MI 146, r. 4, R37";5496;249;"implicite"
"1 MI 146, r. 4, R37";5501;249;"implicite"
"1 MI 146, r. 4, R37";5507;47;"implicite"
"1 MI 146, r. 4, R37";5511;2168;"implicite"
"1 MI 146, r. 4, R37";5511;2269;"implicite"
"1 MI 146, r. 4, R37";5513;245;"implicite"
"1 MI 146, r. 4, R37";5515;147;"implicite"
"1 MI 146, r. 4, R37";5516;210;"implicite"
"1 MI 146, r. 4, R37";5517;147;"pelletier"
"1 MI 146, r. 4, R37";5518;147;"implicite"
"1 MI 146, r. 4, R37";5521;74;"implicite"
"1 MI 146, r. 4, R37";5543;2288;"drapier"
"1 MI 146, r. 4, R37";5544;2289;"drapier"
"1 MI 146, r. 4, R37";5546;2291;"implicite"
"1 MI 146, r. 4, R37";5552;305;"implicite"
"1 MI 146, r. 4, R37";5553;305;"implicite"
"1 MI 146, r. 4, R37";5554;305;"implicite"
"1 MI 146, r. 4, R37";5555;305;"implicite"
"1 MI 146, r. 4, R37";5556;305;"implicite"
"1 MI 146, r. 4, R37";5559;251;"implicite"
"1 MI 146, r. 4, R37";5560;1976;"implicite"
"1 MI 146, r. 4, R37";5562;1976;"implicite"
"1 MI 146, r. 4, R37";5563;1976;"implicite"
"1 MI 146, r. 4, R37";5564;335;"implicite"
"1 MI 146, r. 4, R37";5565;1976;"implicite"
"1 MI 146, r. 4, R37";5566;1976;"implicite"
"1 MI 146, r. 4, R37";5567;1976;"implicite"
"1 MI 146, r. 4, R37";5568;1976;"implicite"
"1 MI 146, r. 4, R37";5569;1976;"implicite"
"1 MI 146, r. 4, R37";5571;81;"implicite"
"1 MI 146, r. 4, R37";5574;690;"implicite"
"1 MI 146, r. 4, R37";5575;147;"implicite"
"1 MI 146, r. 4, R37";5576;147;"implicite"
"1 MI 146, r. 4, R37";5578;147;"implicite"
"1 MI 146, r. 4, R37";5579;147;"implicite"
"1 MI 146, r. 4, R37";5580;147;"implicite"
"1 MI 146, r. 4, R37";5581;257;"dorier"
"1 MI 146, r. 4, R37";5605;2291;"implicite"
"1 MI 146, r. 4, R37";5608;1659;"pelletier"
"1MI 90, r. 4, R38";5714;1976;"implicite"
"1MI 90, r. 4, R38";5715;1750;"mercier"
"1MI 90, r. 4, R38";5716;1976;"implicite"
"1MI 90, r. 4, R38";5719;2337;"implicite"
"1MI 90, r. 4, R38";5722;2341;"implicite"
"1MI 90, r. 4, R38";5723;2341;"implicite"
"1MI 90, r. 4, R38";5742;245;"implicite"
"1MI 90, r. 4, R38";5743;2337;"implicite"
"1MI 90, r. 4, R38";5759;157;"pelletier"
"1MI 90, r. 4, R38";5763;101;"pellicier"
"1MI 90, r. 4, R38";5767;147;"pelletier"
"1MI 90, r. 4, R38";5784;2341;"implicite"
"1MI 90, r. 4, R38";5785;2341;"implicite"
"1MI 90, r. 4, R38";5786;2337;"implicite"
"1MI 90, r. 4, R38";5790;2388;"marchand"
"1MI 90, r. 4, R38";5791;2388;"implicite"
"1MI 90, r. 4, R38";5796;678;"implicite"
"1MI 90, r. 4, R38";5797;47;"implicite"
"1MI 90, r. 4, R38";5798;331;"implicite"
"1MI 90, r. 4, R38";5800;1976;"implicite"
"1MI 90, r. 4, R38";5801;2201;"mercier"
"1MI 90, r. 4, R38";5803;2052;"implicite"
"1MI 90, r. 4, R38";5805;2341;"implicite"
"1MI 90, r. 4, R38";5810;2400;"implicite"
"1MI 90, r. 4, R38";5822;2337;"implicite"
"1MI 90, r. 4, R38";5824;2337;"implicite"
"1MI 90, r. 4, R38";5825;2337;"implicite"
"1MI 90, r. 4, R38";5829;2410;"implicite"
"1MI 90, r. 4, R38";5836;2412;"implicite"
"1MI 90, r. 4, R38";5837;2414;"implicite"
"1MI 90, r. 4, R38";5846;74;"couturier"
"1MI 90, r. 4, R38";5858;74;"couturier"
"1MI 90, r. 4, R38";5859;74;"couturier"
"1MI 90, r. 4, R38";5860;74;"couturier"
"1MI 90, r. 4, R38";5861;74;"couturier"
"1MI 90, r. 4, R38";5862;74;"couturier"
"1MI 90, r. 4, R38";5865;74;"couturier"
"1MI 90, r. 4, R38";5867;74;"couturier"
"1MI 90, r. 4, R38";5880;2421;"pelletier"
"1MI 90, r. 4, R38";5887;147;"pelletier"
"1MI 90, r. 4, R38";5888;147;"pelletier"
"1MI 90, r. 4, R38";5889;147;"pelletier"
"1MI 90, r. 4, R38";5890;147;"pelletier"
"1MI 90, r. 4, R38";5891;147;"pelletier"
"1MI 90, r. 4, R38";5892;147;"pelletier"
"1MI 90, r. 4, R38";5893;147;"pelletier"
"1MI 90, r. 4, R38";5894;147;"pelletier"
"1MI 90, r. 4, R38";5895;147;"pelletier"
"1MI 90, r. 4, R38";5897;147;"pelletier"
"1MI 90, r. 4, R38";5898;147;"pelletier"
"1MI 90, r. 4, R38";5899;147;"pelletier"
"1MI 90, r. 4, R38";5900;147;"pelletier"
"1MI 90, r. 4, R38";5901;147;"pelletier"
"1MI 90, r. 4, R38";5902;147;"pelletier"
"1MI 90, r. 4, R38";5903;147;"pelletier"
"1MI 90, r. 4, R38";5904;147;"pelletier"
"1MI 90, r. 4, R38";5905;147;"pelletier"
"1MI 90, r. 4, R38";5908;147;"pelletier"
"1MI 90, r. 4, R38";5909;147;"pelletier"
"1MI 90, r. 4, R38";5910;147;"pelletier"
"1MI 90, r. 4, R38";5911;147;"pelletier"
"1MI 90, r. 4, R38";5912;147;"pelletier"
"1MI 90, r. 4, R38";5915;147;"pelletier"
"1MI 90, r. 4, R38";5916;147;"pelletier"
"1MI 90, r. 4, R38";5917;147;"pelletier"
"1MI 90, r. 4, R38";5918;147;"pelletier"
"1MI 90, r. 4, R38";5919;147;"pelletier"
"1MI 90, r. 4, R38";5920;147;"pelletier"
"1MI 90, r. 4, R38";5921;147;"pelletier"
"1MI 90, r. 4, R38";5922;147;"pelletier"
"1MI 90, r. 4, R38";5923;147;"pelletier"
"1MI 90, r. 4, R38";5924;147;"pelletier"
"1MI 90, r. 4, R38";5926;147;"pelletier"
"1MI 90, r. 4, R38";5927;147;"pelletier"
"1MI 90, r. 4, R38";5928;147;"pelletier"
"1MI 90, r. 4, R38";5929;147;"pelletier"
"1MI 90, r. 4, R38";5930;147;"pelletier"
"1MI 90, r. 4, R38";5931;147;"pelletier"
"1MI 90, r. 4, R38";5932;147;"pelletier"
"1MI 90, r. 4, R38";5933;147;"pelletier"
"1MI 90, r. 4, R38";5934;147;"pelletier"
"1MI 90, r. 4, R38";5935;147;"pelletier"
"1MI 90, r. 4, R38";5936;147;"pelletier"
"1MI 90, r. 4, R38";5937;147;"pelletier"
"1MI 90, r. 4, R38";5938;147;"pelletier"
"1MI 90, r. 4, R38";5939;147;"pelletier"
"1MI 90, r. 4, R38";5940;147;"pelletier"
"1MI 90, r. 4, R38";5941;147;"pelletier"
"1MI 90, r. 4, R38";5942;147;"pelletier"
"1MI 90, r. 4, R38";5943;147;"pelletier"
"1MI 90, r. 4, R38";5944;147;"pelletier"
"1MI 90, r. 4, R38";5945;147;"pelletier"
"1MI 90, r. 4, R38";5946;147;"pelletier"
"1MI 90, r. 4, R38";5947;147;"pelletier"
"1MI 90, r. 4, R38";5948;147;"pelletier"
"1MI 90, r. 4, R38";5949;147;"pelletier"
"1MI 90, r. 4, R38";5950;147;"pelletier"
"1MI 90, r. 4, R38";5951;147;"pelletier"
"1MI 90, r. 4, R38";5952;147;"pelletier"
"1MI 90, r. 4, R38";5953;147;"pelletier"
"1MI 90, r. 4, R38";5954;147;"pelletier"
"1MI 90, r. 4, R38";5955;2444;"implicite"
"1MI 90, r. 4, R38";5958;335;"mercier"
"1MI 90, r. 4, R38";5960;2445;"implicite"
"1MI 90, r. 4, R38";5961;2445;"implicite"
"1MI 90, r. 4, R38";5962;2447;"implicite"
"1MI 90, r. 4, R38";5966;147;"pelletier"
"1MI 90, r. 5, R37 (269)";5612;147;
"1MI 90, r. 5, R37 (269)";5614;8;"implicite"
"1MI 90, r. 5, R37 (269)";5615;8;"implicite"
"1MI 90, r. 5, R37 (269)";5616;245;"pelletier"
"1MI 90, r. 5, R37 (269)";5619;335;"mercier"
"1MI 90, r. 5, R37 (269)";5621;2168;"implicite"
"1MI 90, r. 5, R37 (269)";5621;2269;"implicite"
"1MI 90, r. 5, R37 (269)";5622;2168;"implicite"
"1MI 90, r. 5, R37 (269)";5622;2269;"implicite"
"1MI 90, r. 5, R37 (269)";5656;147;"implicite"
"1MI 90, r. 5, R37 (269)";5667;147;"implicite"
"1MI 90, r. 5, R37 (269)";5668;147;"implicite"
"1MI 90, r. 5, R37 (269)";5669;147;"implicite"
"1MI 90, r. 5, R37 (269)";5670;147;
"1MI 90, r. 5, R37 (269)";5671;147;"implicite"
"1MI 90, r. 5, R37 (269)";5672;147;"implicite"
"1MI 90, r. 5, R37 (269)";5673;147;"implicite"
"1MI 90, r. 5, R37 (269)";5674;147;"implicite"
"1MI 90, r. 5, R37 (269)";5676;2167;"implicite"
"1MI 90, r. 5, R37 (269)";5678;2321;"implicite"
"1MI 90, r. 5, R37 (269)";5700;1976;"implicite"
"1MI 90, r. 5, R37 (269)";5701;1976;"implicite"
"1MI 90, r. 5, R37 (269)";5702;1976;"implicite"
"1MI 90, r. 5, R37 (269)";5703;47;"implicite"
"1MI 90, r. 5, R37 (269)";5706;147;"pelletier"
"1MI 90, r. 5, R37 (269)";5707;147;"implicite"
"1MI 90, r. 5, R37 (269)";5708;147;"implicite"
"1MI 90, r. 5, R37 (269)";5710;1471;"implicite"
"1MI146, B1";1465;807;"marchand"
"1MI146, B1";1466;807;"implicite"
"1MI146, B2, R. 20";1979;830;"implicite"
"1MI146, B2, R. 20";1980;830;"implicite"
"1MI146, B2, R. 20";1981;830;"implicite"
"1MI146, B2, R. 20";1982;830;"implicite"
"1MI146, B2, R. 20";1983;1089;"implicite"
"1MI146, B2, R. 20";1985;1090;"implicite"
"1MI146, B2, R. 20";1986;1090;"implicite"
"1MI146, B2, R. 20";1987;622;"implicite"
"1MI146, B2, R. 20";1988;1089;"implicite"
"1MI146, B2, R. 20";1989;977;"implicite"
"1MI146, B2, R. 20";1999;61;"pellicier"
"1MI146, B2, R. 20";2001;61;"implicite"
"1MI146, B2, R. 20";2003;830;"implicite"
"1MI146, B2, R. 20";2004;830;"implicite"
"1MI146, B2, R. 20";2005;830;"implicite"
"1MI146, B2, R. 20";2006;830;"implicite"
"1MI146, B2, R. 20";2007;1094;"implicite"
"1MI146, B2, R. 20";2008;830;"implicite"
"1MI146, B2, R. 20";2009;830;"implicite"
"1MI146, B2, R. 20";2010;830;"implicite"
"1MI146, B2, R. 20";2011;830;"implicite"
"1MI146, B2, R. 20";2012;830;"implicite"
"1MI146, B2, R. 20";2014;814;
"1MI146, B2, R. 20";2015;830;"implicite"
"1MI146, B2, R. 20";2016;1035;"giponier"
"1MI146, B2, R. 20";2017;830;"implicite"
"1MI146, B2, R. 20";2018;830;"implicite"
"1MI146, B2, R. 20";2020;823;"implicite"
"1MI146, B2, R. 20";2021;823;"implicite"
"1MI146, B2, R. 20";2022;830;"implicite"
"1MI146, B2, R. 20";2023;830;"implicite"
"1MI146, B2, R. 20";2024;1100;"giponier"
"1MI146, B2, R. 21";2026;1103;"implicite"
"1MI146, B2, R. 21";2027;1104;"implicite"
"1MI146, B2, R. 21";2032;460;"implicite"
"1MI146, B2, R. 21";2033;460;"implicite"
"1MI146, B2, R. 21";2035;1089;"marchand"
"1MI146, B2, R. 21";2036;1089;"marchand"
"1MI146, B2, R. 21";2040;61;"pelletier"
"1MI146, B2, R. 21";2049;830;"implicite"
"1MI146, B2, R. 21";2050;1122;"implicite"
"1MI146, B2, R. 21";2050;1123;"implicite"
"1MI146, B2, R. 21";2051;1122;"implicite"
"1MI146, B2, R. 21";2051;1123;"implicite"
"1MI146, B2, R. 21";2052;1122;"implicite"
"1MI146, B2, R. 21";2052;1123;"implicite"
"1MI146, B2, R. 22";2084;812;"mercier"
"1MI146, B2, R. 22";2086;1138;"implicite"
"1MI146, B2, R. 22";2097;966;"implicite"
"1MI146, B2, R. 22";2103;521;"implicite"
"1MI146, B2, R. 22";2109;820;"implicite"
"1MI146, B2, R. 22";2112;1138;"implicite"
"1MI146, B2, R. 22";2113;1138;"implicite"
"1MI146, B2, R. 22";2114;1138;"implicite"
"1MI146, B2, R. 22";2115;1135;"implicite"
"1MI146, B2, R. 22";2116;622;"implicite"
"1MI146, B2, R. 22";2117;1147;"implicite"
"1MI146, B2, R. 22";2118;1147;"implicite"
"1MI146, B2, R. 22";2125;1151;"mercier"
"1MI146, B2, R. 22";2126;812;"mercier"
"1MI146, B2, R. 22";2127;1147;"mercier"
"1MI146, B2, R. 22";2133;1033;"platier"
"1MI146, B2, R. 23";2179;1165;"implicite"
"1MI146, B2, R. 23";2181;830;"implicite"
"1MI146, B2, R. 23";2191;622;"implicite"
"1MI146, B2, R. 23";2196;812;"mercier"
"1MI146, B2, R. 23";2199;812;"implicite"
"1MI146, B2, R. 23";2238;1182;"implicite"
"1MI146, B2, R. 23";2239;1184;"implicite"
"1MI146, B2, R. 23";2245;966;"implicite"
"1MI146, B2, R. 23";2248;1103;"implicite"
"1MI146, B2, R. 23";2249;1103;
"1MI146, B2, R. 23";2255;1009;"implicite"
"1MI146, B2, R. 23";2256;329;"brodeur"
"1MI146, B2, R. 23";2258;1171;"implicite"
"1MI146, B2, R. 23";2267;1009;"implicite"
"1MI146, B2, R. 23";2279;812;"mercier"
"1MI146, B2, R. 23";2290;54;"implicite"
"1MI146, B2, R. 23";2290;830;"implicite"
"1MI146, B2, R. 23";2290;1089;"implicite"
"1MI146, B2, R. 23";2327;838;"implicite"
"1MI146, B2, R. 23";2342;622;"implicite"
"1MI146, B2, R. 23";2373;1;"implicite"
"1MI146, B2, R. 23";2410;1231;"implicite"
"1MI146, B2, R. 23";2422;811;"implicite"
"1MI146, B2, R. 23";2423;1089;"implicite"
"1MI146, B2, R17";1469;622;"implicite"
"1MI146, B2, R17";1470;622;"implicite"
"1MI146, B2, R17";1470;812;"implicite"
"1MI146, B2, R17";1470;815;"implicite"
"1MI146, B2, R17";1471;622;"implicite"
"1MI146, B2, R17";1471;812;"implicite"
"1MI146, B2, R17";1471;815;"implicite"
"1MI146, B2, R17";1472;622;"implicite"
"1MI146, B2, R17";1472;812;"implicite"
"1MI146, B2, R17";1472;815;"implicite"
"1MI146, B2, R18";1478;622;"implicite"
"1MI146, B2, R18";1479;823;"implicite"
"1MI146, B2, R18";1480;824;"implicite"
"1MI146, B2, R18";1482;61;"implicite"
"1MI146, B2, R18";1482;622;"implicite"
"1MI146, B2, R18";1482;727;"implicite"
"1MI146, B2, R18";1482;829;"implicite"
"1MI146, B2, R18";1482;830;"implicite"
"1MI146, B2, R18";1482;831;"implicite"
"1MI146, B2, R18";1482;832;"implicite"
"1MI146, B2, R18";1482;833;
"1MI146, B2, R18";1484;812;"mercier"
"1MI146, B2, R18";1488;836;"giponier"
"1MI146, B2, R18";1494;812;"mercier"
"1MI146, B2, R18";1495;830;"implicite"
"1MI146, B2, R18";1496;830;"implicite"
"1MI146, B2, R18";1497;727;"implicite"
"1MI146, B2, R18";1498;836;"giponier"
"1MI146, B2, R18";1501;830;"implicite"
"1MI146, B2, R18";1504;1115;"implicite"
"1MI146, B2, R18";1510;812;"implicite"
"1MI146, B2, R18";1511;622;"implicite"
"1MI29, r.5, 67";4614;1924;"pelletier"
"1MI29, r.5, 67";4620;1926;"implicite"
"1MI29, r.5, 68";4630;1937;"implicite"
"1MI29, r.5, 68";4633;1939;"implicite"
"1MI29, r.5, 68";4634;1939;"implicite"
"1MI29, r.5, 68";4635;1939;"implicite"
"1MI29, r.5, 68";4638;335;"mercier"
"1MI29, r.5, 68";4639;1029;
"1MI29, r.5, 68";4643;882;"implicite"
"1MI29, r.5, 68";4644;727;"implicite"
"1MI29, r.5, 68";4645;727;"implicite"
"1MI29, r.7, 70";1224;329;"brodeur"
"1MI29, r.7, 70";1225;707;"implicite"
"1MI29, r.7, 70";1226;707;"implicite"
"1MI29, r.7, 70";1227;707;"implicite"
"1MI29, r.7, 70";1228;707;"implicite"
"1MI29, r.7, 70";1229;707;"implicite"
"1MI29, r.7, 70";1230;707;"implicite"
"1MI29, r.7, 70";1231;707;"implicite"
"1MI29, r.7, 70";1232;707;"implicite"
