"Id";"Type";"Famille";"Nom";"Couleur";"CaracCouleur";"CaracFacture";"Ville";"Region"
1591;"E";"mélangé";"futaine";;;;;
1592;"E";"mélangé";"futaine";;;;;
1593;"E";"mélangé";"futaine";;;;;
1594;"E";"mélangé";"futaine";;;;;
1595;"M";"NA";"coton";;;;;
1596;"M";"NA";"fil";;;;;
1597;"M";"soie";"soie";;;;;
1598;"E";"mélangé";"futaine";;;;;
1599;"E";"soie";"cendal";;;;;
1600;"E";"soie";"soie";;;;;
1601;"E";"toile";"toile";;;;;
1602;"E";"laine";"camelin";;;;;
1603;"E";"laine";"pers";"pers";;;;
1604;"M";"soie";"soie";"vert";;;;
1605;"M";"NA";"fil";;;;;
1606;"E";"mélangé";"futaine";;;;;
1607;"E";"toile";"toile";"teinte";;;;
1608;"E";"laine";"vert";"vert";;;;
1609;"E";"laine";"camelin";;;"marbre";"Malines";"Brabant"
1610;"E";"laine";"vert";"vert";;;;
1611;"E";"laine";"rayé";"rayé";;;;
1612;"E";"laine";"rayé";"rayé";;;;
1613;"E";"laine";"rose";"rose";;;"Bruxelles";"Brabant"
1614;"E";"laine";"rayé";"rayé";;;;
1615;"E";"soie";"soie";;;;;
1616;"E";"laine";"pers";"pers";;;;
1617;"E";"laine";"carreaux";"carreaux";;;"Saint-James";"Normandie"
1618;"E";"laine";"drap";;;;"Bruxelles";"Brabant"
1619;"E";"laine";"marbré";"marbré";;;"Bruxelles";"Brabant"
1620;"E";"laine";"drap";;;;"Bruxelles";"Brabant"
1621;"E";"laine";"vert";"vert";;;"Bruxelles";"Brabant"
1622;"E";"laine";"nay";;;;;
1623;"E";"laine";"blanc";"blanc";;;;
1624;"E";"laine";"rayé";"rayé";;;;
1625;"E";"laine";"marbré";"marbré";;;;
1626;"E";"laine";"marbré";"marbré";;;;
1627;"F";"NA";"gros vair";;;;;
1628;"F";"NA";"hermine";;;;;
1629;"E";"soie";"cendal";;;;;
1630;"F";"NA";"grosse pople";;;;;
1631;"F";"NA";"agneau";"blanc";;;;
1632;"E";"toile";"mantil";;;;;
1633;"E";"toile";"toile";;;;;
1634;"E";"toile";"mantil";;;;;
1635;"E";"toile";"toile";;;;;
1636;"E";"laine";"drap";;;;;
1637;"E";"mélangé";"futaine";;;;;
1638;"E";"toile";"toile";;;;;
1639;"M";"NA";"bourre";;;;;
1640;"M";"NA";"fil";;;;;
1641;"E";"soie";"cendal";"noir";;;;
1642;"M";"NA";"papier d'or";;;;;
1643;"M";"NA";"ruban";;;;;
1644;"M";"soie";"soie";;;;;
1645;"E";"soie";"cendal";;;;;
1646;"M";"NA";"fil";;;;;
1647;"E";"laine";"acolé";;;;"Bruxelles";"Brabant"
1648;"E";"laine";"marbré";;;;"Bruxelles";"Brabant"
1649;"E";"laine";"drap";;;;"Louvain";"Brabant"
1650;"E";"laine";"drap";;;;"Saint-Hubert";"Princ. de Liège"
1651;"E";"laine";"drap";;;;"Liège";"Brabant"
1652;"E";"laine";"drap";;;;"Saint-Hubert";"Princ. de Liège"
1653;"E";"laine";"rayé";"rayé";;;"Diest";"Flandres"
1654;"E";"laine";"rayé";"rayé";;;"Nestat";"inconnue"
1655;"E";"laine";"paonace";"paonace";;;"Bruxelles";"Brabant"
1656;"E";"laine";"paonace";"paonace";;;"Bruxelles";"Brabant"
1657;"E";"laine";"tanné";"tanné";;;"Bruxelles";"Brabant"
1658;"E";"laine";"drap";;;;"Bruxelles";"Brabant"
1659;"E";"laine";"acolé";;;;"Malines";"Brabant"
1660;"E";"laine";"camelin";;;;"Rouen";"Normandie"
1661;"E";"laine";"drap";;;;"Andelain";"Champagne"
1662;"E";"laine";"nay";;;;"Milan";"Italie"
1663;"E";"laine";"drap";;;;"Lormaye";"île-de-France"
1664;"E";"laine";"drap";;;;"Andelain";"Champagne"
1665;"E";"laine";"brunette";"noir";;;;
