"Ville";"Region";"Remarques"
"Auffay";"Normandie";"Ausey. Banlieu de Rouen, Seine-Maritime (76 B4)"
"Bayeux";"Normandie";
"Bernay";"Normandie";
"Blangy";"Normandie";
"Evreux";"Normandie";
"Falaise";"Normandie";"Falayse"
"Fougère";"Normandie";
"Gamache";"Normandie";"a vérifier"
"Harfleur";"Normandie";
"Honfleur";"Normandie";
"Louvier";"Normandie";"Louviers avec un 's'"
"Montivilliers";"Normandie";
"Mont-Pinchon";"Normandie";
"Pavilly";"Normandie";"Panally, faubourg de Rouen"
"Pont-d'Arche";"Normandie";"dans l'Eure entre Rouen et Louviers, ou pont-d'arc en ardèche?"
"Rouen";"Normandie";
"Saint-James";"Normandie";
"Viconté";"Normandie";
"Damas";"Orient";
"Gex";"Pays de Gex";
"Saint-Hubert";"Princ. de Liège";
"Provence";"Provence";
"Ystres";"Provence";"Prés de Marseille"
"Romanie";"Romanie";
"Sardaigne";"Sardaigne";
"Annecy";"Savoie";
"Belley";"Savoie";
"Bourget";"Savoie";
"Chambéry";"Savoie";
"Cossonay";"savoie";"Nord de Morges"
"Evian";"Savoie";
"Genève";"Savoie";
"Lans-le-Bourg";"Savoie";
"Lausanne";"Savoie";
"Maurienne";"Savoie";
"Morges";"Savoie";
"Nyon";"Savoie";
"Ripaille";"Savoie";
"Rumilly";"Savoie";
"Saint-Gervais";"Savoie";"peut être un  autre Saint-Gervais"
"Saint-Gervais";"inconnue";
"Saint-Maurice";"Savoie";
"Savoie";"Savoie";
"Seyselle";"Savoie";
"St. Jean de Maurienne";"Savoie";
"Tarentaise";"Savoie";
"Thonon";"Savoie";
"Yverdon";"Savoie";
"Touraine";"Touraine";
"Fribourg";"Valais";
"Fribourg";"Allemagne";"ou valais?"
"Valais";"Valais";
"Masticonem";"inconnue";
"";"Brabant";
"";"Flandres";
"Saint-Pons";"Languedoc";
"";"Normandie";
"Moche";"inconnue";
"";"inconnue";
"Hedin";"Belgique";
"Diant";"inconnue";
"delin";"inconnue";
"Troyes";"Champagne";
"Beaumont";"Normandie";
"";"Région parisien";
"";"bourgogne";
"";"valais";
"";"Languedoc";
"";"oir";"erreur saisie?"
"";"oi";"erreur saisie?"
"";"ert";"erreur saisie?"
"Ales";"inconnue";"Alès dans le Languedoc?"
"Lière";"Belgique";"Lierre actuellement"
"Chilnies";"inconnue";
